id,group,pred_score,is_recid,groundTruthLabel,c_charge_degree,priors_count
163,0,1,0,0,F,1
166,1,9,1,1,F,3
169,0,4,1,1,M,5
171,0,5,0,0,F,0
173,1,5,1,1,F,5
174,1,2,0,0,F,3
175,0,2,1,1,F,1
176,1,9,1,1,F,10
177,1,4,1,1,F,0
178,1,8,1,1,F,28
180,1,7,0,0,M,1
182,3,2,0,0,F,1
183,0,10,1,1,F,13
184,1,9,1,1,F,3
189,0,9,0,0,M,3
190,1,10,1,1,F,19
194,0,3,0,0,F,6
195,0,4,0,0,F,2
197,0,2,0,0,M,1
199,0,1,0,0,F,2
200,3,2,0,0,M,2
202,0,2,1,1,M,0
203,1,2,0,0,M,0
206,0,4,1,1,F,10
208,0,2,1,1,M,2
210,1,7,1,1,F,3
213,0,3,1,1,M,2
215,1,2,1,0,M,1
216,0,2,1,1,F,1
218,0,4,0,0,F,4
220,1,10,0,0,F,1
222,0,1,0,0,M,0
223,1,8,1,1,F,9
224,1,6,1,1,F,11
225,1,5,1,1,M,8
227,1,3,1,1,F,0
228,1,9,1,1,F,7
229,1,9,1,1,F,2
231,1,6,0,0,F,0
232,0,6,0,0,M,0
234,1,1,1,1,F,1
235,3,7,1,1,F,13
236,2,1,0,0,F,1
238,1,10,1,1,F,4
239,2,4,0,0,F,1
240,3,2,0,0,F,1
241,1,4,1,1,M,2
243,0,4,0,0,M,1
244,0,7,1,1,F,3
245,1,7,0,0,F,1
246,0,2,0,0,M,2
248,1,2,0,0,F,1
249,0,1,1,1,F,6
252,0,5,0,0,F,0
254,1,2,1,1,M,1
257,2,3,0,0,F,0
258,1,7,0,0,F,5
259,2,1,0,0,M,2
260,1,4,0,0,F,8
264,2,9,1,1,F,8
265,1,6,1,1,M,6
266,2,1,0,0,F,2
267,2,2,0,0,F,0
268,0,1,1,1,M,1
269,0,1,0,0,F,0
271,3,2,0,0,F,0
275,1,5,1,1,F,1
277,1,8,1,1,M,23
278,1,2,1,1,M,0
279,2,1,0,0,F,1
281,1,1,1,0,F,3
282,0,4,1,1,M,8
285,3,3,1,1,M,0
287,1,9,1,1,M,2
288,0,4,1,1,F,0
289,1,9,1,1,F,9
291,0,3,0,0,F,2
293,1,3,1,1,F,0
294,1,2,1,0,M,2
297,1,4,0,0,M,1
298,3,3,1,1,M,2
299,0,1,0,0,F,1
300,0,3,0,0,M,0
301,0,4,0,0,M,4
302,1,9,1,1,F,23
304,3,5,1,1,F,5
306,1,10,1,1,F,2
308,1,2,0,0,M,0
310,1,8,0,0,F,0
313,0,9,1,1,F,7
315,1,1,0,0,F,2
317,1,9,0,0,F,1
319,0,1,1,1,F,7
320,1,9,0,0,F,15
321,1,5,0,0,M,2
323,2,2,0,0,M,0
326,0,1,1,1,M,0
327,0,2,0,0,M,0
329,3,1,1,1,M,1
330,1,1,0,0,F,0
331,0,3,1,1,F,4
332,1,7,0,0,F,2
333,1,6,0,0,M,5
334,1,10,1,1,F,11
335,1,1,1,0,M,0
336,3,4,1,1,F,4
337,1,9,0,0,F,11
338,1,9,0,0,F,2
344,1,1,0,0,M,0
345,0,1,0,0,F,0
347,0,4,1,1,F,13
348,1,4,0,0,F,0
349,0,1,0,0,F,1
350,1,9,1,1,M,11
351,0,5,0,0,F,1
354,1,4,0,0,F,0
355,1,2,0,0,F,4
356,2,4,0,0,F,4
357,0,8,1,1,F,0
358,0,2,1,1,F,0
359,1,9,0,0,F,14
361,0,1,0,0,M,1
362,1,8,1,1,F,25
363,0,5,1,1,M,8
364,1,3,0,0,F,0
366,0,8,1,1,M,1
369,3,1,0,0,M,0
372,3,2,0,0,F,3
379,2,2,0,0,M,0
381,2,6,1,1,F,1
382,0,5,1,1,F,5
383,2,8,0,0,M,0
384,1,3,0,0,M,1
385,1,8,1,1,F,1
386,1,6,1,1,F,2
389,3,1,0,0,F,0
390,1,4,0,0,F,4
393,1,1,0,0,F,2
396,1,8,0,0,F,0
398,2,7,0,0,F,0
399,1,1,0,0,F,0
400,1,4,1,1,F,0
402,1,2,0,0,F,0
403,1,6,1,1,F,8
404,0,5,0,0,F,0
405,0,6,1,1,F,0
406,1,7,1,1,F,11
407,1,10,1,1,M,3
408,0,3,0,0,F,1
409,1,10,0,0,F,2
411,1,3,0,0,M,2
414,3,2,0,0,F,0
416,1,6,1,1,F,3
417,1,1,0,0,F,0
423,0,1,0,0,F,3
425,0,1,0,0,M,1
428,0,4,0,0,F,3
429,1,9,1,1,M,0
430,1,8,1,1,M,1
431,2,1,1,1,F,3
432,0,4,0,0,M,5
435,1,4,0,0,M,5
437,0,5,1,1,F,0
438,1,4,1,1,F,5
440,1,3,1,1,F,6
441,3,3,0,0,F,0
445,0,3,0,0,F,2
446,1,6,0,0,M,0
451,1,8,1,1,M,4
452,0,1,0,0,F,0
456,0,3,0,0,F,5
457,3,2,1,1,F,2
459,1,1,0,0,F,5
461,2,3,0,0,F,0
462,1,1,0,0,M,0
463,0,1,1,1,M,0
464,0,3,1,1,M,3
465,0,2,0,0,F,0
467,3,10,1,1,F,9
468,1,2,0,0,F,0
469,1,10,1,1,F,0
474,0,1,0,0,M,0
475,0,1,0,0,M,0
478,1,9,0,0,F,7
480,1,9,1,1,F,0
484,0,5,0,0,F,8
485,1,9,1,1,F,2
487,0,6,1,1,F,36
489,0,3,1,1,M,2
493,1,1,0,0,F,1
494,2,5,1,0,F,3
495,1,7,0,0,F,0
496,0,4,1,1,M,2
497,2,3,1,0,M,1
499,0,5,0,0,F,1
500,1,8,1,1,F,0
501,0,3,0,0,M,0
502,1,3,0,0,F,0
504,3,2,1,1,F,1
505,1,1,0,0,F,0
509,0,6,0,0,M,0
510,2,1,0,0,M,1
516,1,9,1,1,F,12
517,1,6,0,0,F,1
518,1,3,0,0,F,3
522,0,1,0,0,F,0
523,1,10,1,1,F,2
524,2,8,0,0,M,0
525,3,1,0,0,M,0
526,0,6,0,0,F,0
527,0,1,0,0,M,0
530,0,6,0,0,F,2
531,1,10,1,1,M,6
532,0,4,0,0,F,0
533,1,5,1,1,F,0
537,1,5,0,0,F,3
538,1,4,1,0,M,2
540,0,1,0,0,M,0
541,1,10,0,0,M,0
542,1,10,1,1,F,3
545,3,4,0,0,F,1
546,2,3,0,0,F,1
547,0,4,0,0,F,0
548,1,3,1,0,F,1
552,0,6,1,1,M,2
553,1,8,0,0,F,18
557,1,9,1,1,F,4
558,1,5,1,1,F,0
561,0,1,0,0,M,1
563,0,1,1,1,M,1
565,0,7,1,1,F,0
566,1,8,1,1,F,7
567,0,1,0,0,M,1
569,1,4,0,0,F,0
572,1,1,0,0,F,1
573,1,3,0,0,M,1
576,1,8,1,1,F,6
579,1,9,1,1,F,4
580,0,7,0,0,M,3
581,1,9,1,1,F,23
584,1,5,0,0,F,2
586,1,1,0,0,F,2
587,1,1,0,0,F,1
588,1,4,1,0,F,7
590,0,8,1,1,F,23
594,0,1,0,0,M,0
597,1,8,1,1,F,12
598,1,9,1,0,F,5
599,0,3,0,0,M,3
600,2,2,0,0,F,0
602,1,7,1,1,F,14
603,1,5,0,0,F,2
604,1,9,1,1,M,0
608,0,2,0,0,F,0
611,1,3,0,0,F,5
612,1,8,1,1,F,9
613,0,1,1,1,F,4
616,1,2,0,0,F,3
617,3,1,0,0,F,4
621,2,3,0,0,M,1
622,0,6,0,0,M,0
623,0,1,0,0,M,0
624,1,7,0,0,F,0
627,1,6,0,0,F,11
628,0,2,1,1,M,0
629,2,3,0,0,M,0
630,0,3,0,0,F,0
633,0,1,0,0,M,2
635,1,3,1,1,M,7
637,0,5,1,1,F,1
638,1,6,1,1,F,8
639,3,1,0,0,F,1
640,1,7,1,1,F,0
641,0,6,1,1,M,0
644,1,7,1,1,M,21
645,1,7,0,0,F,3
646,2,1,1,1,M,1
647,0,4,0,0,F,0
648,1,5,1,1,F,1
649,0,1,0,0,M,3
651,1,4,0,0,F,3
653,0,8,1,1,F,3
654,0,1,0,0,F,0
656,1,6,0,0,F,2
657,1,10,1,1,F,3
659,0,10,1,1,F,1
660,0,1,0,0,M,2
662,0,5,0,0,F,0
664,0,1,0,0,M,0
668,2,5,1,1,F,2
669,1,10,1,1,F,1
674,1,2,1,1,M,1
675,0,1,0,0,F,4
678,1,2,0,0,F,3
679,1,1,0,0,M,1
680,1,3,0,0,F,5
681,0,1,0,0,M,0
685,1,10,1,1,F,2
686,0,1,1,1,M,0
687,3,8,1,1,F,0
688,1,8,1,1,M,13
691,1,6,1,1,M,1
692,1,5,1,1,F,3
693,0,5,1,1,F,6
694,0,4,1,1,F,1
697,1,3,1,1,F,5
700,1,9,1,1,F,10
701,1,10,0,0,F,5
703,0,1,0,0,F,2
704,1,1,0,0,F,0
707,1,6,1,0,F,6
708,1,9,1,1,F,28
709,1,7,1,1,F,8
711,1,9,1,1,F,6
712,1,1,0,0,M,2
713,1,6,1,1,M,12
715,0,5,1,1,M,1
716,1,2,0,0,M,1
718,1,10,1,1,F,1
720,0,1,0,0,F,0
721,2,10,0,0,F,0
722,0,2,0,0,F,3
724,0,1,0,0,F,3
726,0,6,1,1,F,4
727,0,1,0,0,F,0
728,2,1,1,1,F,4
729,0,1,1,1,F,1
730,3,6,0,0,F,0
731,2,1,0,0,F,1
732,2,4,0,0,M,2
737,0,9,1,1,F,6
738,0,9,1,1,M,2
739,1,9,0,0,M,2
740,3,7,1,1,F,5
743,1,2,0,0,F,1
745,0,2,0,0,M,0
752,0,4,1,1,M,0
753,1,1,0,0,M,0
754,1,4,1,1,F,4
756,0,1,0,0,M,0
757,1,5,0,0,F,0
762,0,3,1,1,M,1
763,2,5,1,1,F,7
764,2,3,0,0,F,20
765,1,6,1,1,F,33
769,0,5,0,0,F,2
770,0,1,0,0,M,1
771,0,2,0,0,F,1
774,1,7,0,0,F,1
775,0,3,0,0,M,4
781,3,5,0,0,F,12
785,1,2,0,0,M,0
786,0,1,0,0,M,0
787,2,4,0,0,M,7
788,3,1,0,0,M,2
789,1,3,0,0,M,2
790,1,4,0,0,F,6
792,3,1,0,0,M,0
793,1,7,1,1,F,10
794,1,5,1,1,F,5
796,0,2,0,0,F,0
798,0,7,1,1,F,1
803,1,5,0,0,M,4
804,1,4,1,1,F,0
805,0,4,1,1,F,4
806,0,2,0,0,F,0
807,0,9,0,0,M,0
808,0,4,1,0,F,6
810,1,3,1,1,M,1
812,1,2,0,0,F,0
813,1,4,1,1,F,6
814,0,1,1,1,F,1
815,0,3,1,1,F,0
817,3,1,0,0,F,1
818,0,3,0,0,F,0
820,2,10,0,0,F,20
821,1,7,0,0,F,0
823,1,7,1,1,F,14
825,0,10,1,1,M,9
830,2,6,1,1,F,0
831,0,1,0,0,M,1
835,1,9,1,1,F,5
836,2,1,1,1,M,2
837,0,6,1,1,F,2
838,1,3,0,0,M,1
840,1,5,0,0,F,0
841,0,2,0,0,F,2
842,2,1,0,0,F,1
843,1,5,0,0,F,8
844,1,6,0,0,F,6
847,1,6,1,0,F,3
848,3,1,0,0,F,0
849,1,3,1,1,F,3
850,1,5,1,1,F,3
851,0,1,0,0,M,1
852,1,7,1,1,F,3
853,1,3,0,0,M,3
855,1,1,0,0,F,0
856,0,6,0,0,F,1
857,1,8,1,1,F,16
858,1,3,0,0,M,0
859,1,5,0,0,F,1
861,0,4,1,1,F,2
863,0,4,0,0,F,5
864,2,8,0,0,F,8
867,1,4,1,1,M,5
869,0,3,0,0,M,11
870,1,2,1,1,F,6
871,0,1,0,0,M,0
872,1,7,1,0,F,15
874,2,6,0,0,F,4
875,1,3,0,0,M,0
879,0,4,0,0,F,1
880,2,1,0,0,F,1
881,0,1,1,1,M,2
882,0,1,1,1,F,5
884,0,1,1,1,M,0
886,0,1,0,0,M,0
887,1,6,1,1,F,5
888,0,3,0,0,M,0
889,0,4,0,0,M,1
890,3,6,1,1,M,0
893,2,1,0,0,M,0
895,3,2,0,0,F,1
899,1,3,1,0,M,0
900,0,7,0,0,F,0
901,1,2,0,0,M,0
904,2,2,1,1,M,0
905,2,1,0,0,F,1
906,0,5,0,0,F,0
909,1,3,0,0,F,1
913,1,8,1,1,M,3
914,1,7,1,1,M,3
916,1,2,0,0,F,0
917,1,10,1,1,F,11
918,1,1,0,0,F,1
919,2,10,1,1,M,1
921,1,7,0,0,M,1
922,0,6,1,1,F,6
923,1,1,0,0,M,1
924,0,1,0,0,M,0
925,0,1,0,0,M,2
926,1,7,1,1,M,5
927,0,1,0,0,F,0
930,1,8,1,1,F,0
934,1,5,1,1,F,4
935,0,1,0,0,M,0
937,2,5,1,1,F,6
943,0,2,1,1,M,2
944,1,3,0,0,F,10
945,1,8,0,0,M,6
946,1,3,1,1,M,9
947,0,10,0,0,F,3
948,1,5,0,0,M,0
949,0,10,1,1,F,2
951,1,1,0,0,M,1
953,1,1,0,0,M,0
955,1,6,1,1,F,15
958,2,2,0,0,M,0
959,1,9,1,1,F,4
960,0,7,1,1,F,3
962,0,9,0,0,M,5
963,0,5,0,0,F,1
964,0,5,1,1,F,3
965,1,1,0,0,F,0
967,1,9,1,1,F,18
968,0,3,1,1,F,0
969,3,9,0,0,F,0
971,1,2,1,1,F,4
973,0,4,1,1,M,0
975,1,3,0,0,F,0
977,1,8,0,0,F,0
978,1,2,0,0,F,0
987,1,8,1,1,F,8
988,1,6,0,0,F,10
990,0,6,0,0,F,1
993,0,2,1,1,F,2
995,1,8,1,1,F,0
996,1,4,1,1,F,1
998,1,7,1,1,F,13
999,0,1,1,1,F,1
1000,1,10,1,1,F,23
1001,1,9,0,0,F,20
1002,1,7,0,0,F,3
1003,1,9,1,1,M,1
1004,2,6,1,1,M,2
1005,1,2,1,1,M,2
1006,1,4,0,0,M,0
1007,1,3,0,0,F,0
1008,0,1,0,0,M,1
1009,2,1,0,0,F,0
1014,1,5,0,0,F,0
1015,1,4,0,0,F,11
1016,3,9,1,1,M,4
1018,1,7,0,0,M,2
1020,3,1,0,0,F,0
1022,1,1,0,0,M,0
1023,0,3,0,0,F,2
1024,1,2,0,0,M,0
1025,1,7,1,1,M,0
1026,1,9,1,1,F,17
1027,1,9,0,0,F,3
1030,0,2,0,0,M,0
1031,0,9,1,1,F,15
1032,2,9,1,1,F,7
1034,1,10,1,1,M,2
1036,1,4,0,0,F,3
1037,3,6,1,1,F,0
1038,0,1,1,1,F,3
1043,1,7,0,0,F,5
1044,1,5,0,0,M,4
1046,1,5,0,0,M,1
1048,1,8,1,1,F,14
1049,0,1,0,0,F,2
1051,1,2,1,1,M,3
1056,0,5,1,1,F,2
1057,1,7,1,1,F,20
1058,1,4,0,0,M,2
1059,1,6,0,0,M,1
1060,1,1,0,0,F,1
1061,1,1,0,0,F,0
1062,1,3,0,0,F,6
1063,1,6,1,1,M,10
1065,1,8,1,1,F,10
1066,0,2,0,0,F,1
1068,0,3,1,1,F,9
1069,0,1,0,0,F,1
1072,1,1,0,0,F,0
1073,2,4,0,0,M,0
1076,0,8,0,0,F,2
1077,1,5,1,1,F,0
1079,1,1,1,1,F,5
1081,1,1,0,0,M,1
1082,1,8,1,1,F,18
1084,1,1,0,0,M,0
1086,1,5,0,0,F,1
1087,0,2,1,1,F,1
1088,0,1,0,0,F,0
1089,0,1,1,1,M,0
1092,2,10,0,0,F,1
1093,0,2,0,0,M,0
1094,0,2,1,1,F,0
1096,0,1,0,0,M,0
1099,0,3,0,0,F,1
1101,2,3,0,0,F,1
1103,1,8,0,0,F,0
1106,0,1,0,0,F,1
1107,0,4,1,1,F,1
1109,1,4,1,1,F,0
1110,1,10,1,1,F,4
1111,1,6,0,0,F,2
1119,1,9,1,1,F,6
1120,1,8,0,0,F,0
1121,1,2,0,0,F,0
1122,1,3,0,0,F,0
1123,1,9,0,0,F,11
1125,1,7,1,1,F,10
1127,1,2,0,0,F,0
1128,0,5,0,0,M,0
1129,3,1,0,0,F,0
1130,0,5,1,1,F,22
1131,1,10,1,1,F,0
1132,0,1,0,0,F,0
1136,1,5,1,1,M,7
1138,1,9,0,0,M,1
1140,1,1,0,0,F,8
1141,1,9,0,0,M,10
1142,1,5,0,0,F,0
1143,1,5,1,1,F,0
1144,1,5,0,0,F,3
1145,1,5,1,1,F,2
1146,1,7,1,1,F,4
1149,2,7,0,0,F,5
1150,1,10,1,1,F,19
1151,3,4,1,1,F,1
1152,3,10,0,0,M,0
1153,0,8,1,1,F,1
1156,1,2,0,0,F,0
1157,3,7,0,0,M,3
1159,1,1,0,0,F,0
1160,1,7,1,0,F,0
1162,1,7,1,1,F,5
1163,1,6,1,0,F,6
1165,3,4,0,0,M,2
1166,1,9,1,1,F,4
1169,1,4,0,0,M,1
1170,3,2,1,1,F,1
1171,2,2,0,0,F,0
1172,1,2,0,0,M,0
1173,1,6,1,1,F,8
1176,0,2,0,0,M,0
1177,0,1,0,0,M,0
1179,1,2,0,0,F,4
1181,1,5,0,0,F,4
1186,0,4,1,1,M,1
1187,0,9,1,1,F,2
1191,0,4,1,1,F,0
1192,1,6,0,0,F,11
1193,0,7,0,0,F,0
1194,3,1,0,0,F,0
1195,1,7,0,0,F,3
1196,0,1,0,0,M,0
1197,1,9,1,1,F,1
1198,0,3,0,0,M,2
1200,1,5,1,1,F,0
1202,1,9,1,1,F,22
1204,3,4,0,0,M,0
1205,1,1,0,0,M,0
1206,3,1,0,0,F,0
1208,0,3,0,0,M,2
1209,0,4,0,0,F,0
1212,1,5,1,1,M,1
1213,1,2,0,0,M,1
1215,2,1,0,0,M,0
1216,0,6,0,0,F,2
1217,1,2,1,1,F,3
1219,1,2,0,0,M,0
1220,1,3,0,0,F,0
1221,3,7,0,0,M,3
1222,1,10,1,1,F,17
1225,1,1,1,1,F,1
1228,0,5,0,0,F,1
1229,1,6,0,0,F,7
1230,1,3,0,0,F,0
1233,0,4,0,0,F,8
1234,1,6,0,0,M,7
1235,1,7,1,1,F,14
1237,1,5,0,0,M,0
1238,0,3,1,1,M,1
1239,1,8,1,1,M,5
1240,1,10,0,0,F,16
1241,0,3,1,1,M,1
1242,3,1,1,1,M,0
1243,0,1,0,0,M,0
1244,0,4,0,0,F,2
1246,1,6,1,1,M,3
1247,1,3,0,0,F,1
1248,0,2,1,0,M,2
1250,1,8,1,1,F,13
1252,3,1,0,0,F,0
1253,3,3,1,1,F,0
1254,1,8,0,0,F,20
1255,1,8,1,1,F,3
1256,1,10,1,1,F,25
1257,1,7,1,1,M,1
1258,1,8,1,1,M,9
1259,0,4,1,1,F,5
1260,1,7,1,1,M,4
1261,1,2,0,0,M,4
1262,0,1,1,0,M,4
1268,1,4,1,1,F,1
1269,1,4,0,0,M,2
1271,1,5,1,1,M,0
1272,1,5,1,1,F,6
1274,3,2,0,0,F,3
1275,0,1,0,0,F,0
1276,1,7,1,1,M,1
1280,0,7,1,1,M,4
1281,0,2,1,1,M,1
1282,1,8,0,0,F,1
1283,1,9,1,1,F,1
1286,0,4,1,1,F,3
1290,1,8,1,1,M,4
1292,0,2,0,0,F,1
1293,1,5,1,1,F,5
1295,0,4,0,0,F,0
1296,0,1,0,0,F,0
1297,2,2,0,0,M,1
1298,1,9,0,0,M,7
1300,0,5,0,0,M,0
1303,1,3,1,1,F,1
1304,1,7,0,0,F,1
1305,1,8,0,0,M,9
1306,1,4,1,1,F,5
1310,0,6,0,0,F,1
1313,1,9,1,1,F,0
1314,1,8,1,1,M,25
1315,1,4,0,0,F,0
1318,1,8,1,1,F,13
1320,3,1,0,0,F,0
1321,1,1,1,1,M,5
1323,1,3,0,0,F,4
1324,0,2,0,0,F,0
1325,1,1,0,0,F,0
1326,1,9,0,0,F,3
1328,1,2,0,0,M,1
1329,0,8,1,1,F,1
1330,0,4,0,0,F,3
1331,1,10,1,1,F,6
1332,3,3,1,1,F,4
1334,1,3,0,0,F,1
1335,0,4,0,0,M,4
1336,0,1,1,0,F,1
1342,1,7,0,0,F,1
1343,2,6,1,1,F,3
1344,1,2,0,0,F,3
1345,0,4,1,1,M,1
1346,1,5,0,0,F,4
1347,0,3,1,1,F,1
1348,1,5,0,0,F,1
1349,2,1,0,0,M,0
1351,1,7,1,1,F,9
1352,0,10,1,1,F,0
1353,0,1,1,1,F,1
1354,2,1,0,0,M,1
1356,2,2,0,0,M,1
1358,1,6,1,1,M,3
1360,1,1,1,1,F,3
1361,1,3,1,1,M,5
1363,2,1,1,1,M,0
1366,0,1,0,0,M,0
1367,1,2,1,1,F,0
1369,0,4,0,0,M,3
1370,0,1,0,0,M,0
1372,0,2,0,0,F,0
1375,2,2,0,0,F,1
1376,2,5,0,0,F,1
1377,1,7,1,1,M,6
1379,1,7,1,1,F,1
1380,1,2,1,1,F,2
1382,1,2,0,0,M,0
1384,0,5,0,0,F,1
1385,1,2,1,1,M,4
1388,0,1,1,1,F,1
1393,1,1,1,1,F,3
1395,1,9,1,1,F,2
1396,1,10,1,1,F,19
1397,1,9,0,0,M,3
1399,0,3,0,0,F,2
1402,1,1,0,0,M,0
1408,1,7,1,1,M,10
1410,1,2,0,0,F,1
1411,2,1,0,0,M,0
1412,2,1,0,0,M,0
1418,2,3,0,0,F,1
1419,0,1,0,0,M,1
1422,2,2,1,1,M,0
1427,1,9,1,1,F,14
1428,1,7,0,0,F,2
1429,1,10,1,1,F,5
1430,2,4,0,0,M,0
1431,0,5,0,0,F,1
1433,1,8,0,0,F,1
1435,1,2,1,1,M,2
1436,1,7,1,1,F,6
1438,0,6,0,0,F,0
1439,0,4,0,0,F,0
1441,1,5,1,1,M,1
1443,1,5,1,1,F,0
1445,1,7,1,1,F,7
1446,0,1,0,0,F,2
1447,0,1,0,0,F,5
1448,0,3,0,0,M,0
1452,0,5,1,1,M,0
1455,1,1,0,0,F,0
1456,1,6,1,1,F,10
1458,0,3,0,0,M,0
1460,2,7,1,1,M,0
1461,1,6,1,1,F,2
1462,2,1,0,0,M,1
1463,1,8,1,1,M,5
1467,1,7,1,1,F,10
1470,1,5,1,1,M,4
1471,0,5,1,1,M,2
1473,1,4,1,1,M,0
1474,1,4,0,0,F,0
1475,2,1,0,0,M,0
1479,1,1,1,1,M,6
1481,1,1,0,0,F,0
1482,1,7,0,0,M,6
1483,1,1,0,0,M,1
1484,0,9,1,1,F,8
1485,1,7,1,1,M,1
1486,2,3,0,0,F,0
1488,1,2,1,1,M,5
1490,1,4,1,1,M,4
1491,1,4,0,0,F,3
1496,1,7,1,1,F,2
1497,0,4,1,0,F,8
1499,1,10,1,1,F,6
1501,0,1,0,0,M,0
1505,1,8,1,1,F,0
1508,1,3,0,0,M,0
1509,2,1,0,0,F,2
1511,1,2,0,0,M,0
1512,1,2,0,0,M,2
1513,1,5,1,1,F,6
1515,1,4,0,0,M,17
1516,2,3,1,1,F,20
1520,0,6,0,0,F,2
1522,1,7,0,0,M,2
1526,1,4,0,0,F,5
1529,1,7,1,1,M,8
1530,2,1,0,0,M,0
1531,2,5,1,1,F,1
1532,2,1,0,0,M,1
1533,1,6,0,0,F,1
1534,1,6,0,0,F,2
1535,2,7,1,1,M,1
1536,1,4,0,0,F,1
1538,0,3,0,0,F,6
1540,1,5,0,0,F,2
1541,1,10,0,0,F,0
1542,1,7,1,1,M,17
1543,1,10,1,1,M,11
1545,1,5,0,0,F,1
1548,1,9,1,1,F,6
1550,0,1,0,0,F,1
1551,2,1,0,0,M,0
1553,2,1,1,1,F,0
1557,1,1,0,0,F,0
1559,0,4,0,0,M,3
1560,2,2,1,1,F,1
1562,2,3,0,0,F,0
1563,1,1,0,0,F,5
1565,1,5,1,1,F,16
1568,3,2,1,1,F,0
1569,1,7,1,1,M,5
1571,0,1,0,0,F,0
1572,1,2,0,0,F,1
1573,1,6,0,0,M,1
1575,1,3,1,1,M,3
1576,1,8,1,1,M,13
1577,1,1,0,0,M,2
1578,0,1,0,0,F,1
1581,0,4,0,0,M,5
1584,3,2,0,0,F,1
1587,0,1,0,0,F,2
1588,1,10,1,1,M,1
1590,1,1,1,1,M,0
1591,0,1,0,0,M,0
1594,1,5,0,0,M,0
1595,1,10,1,1,F,17
1596,1,3,1,1,F,1
1597,1,1,0,0,F,0
1599,0,1,0,0,M,0
1601,0,2,1,1,M,2
1602,1,2,0,0,M,2
1604,1,5,1,1,M,4
1605,2,3,0,0,M,0
1606,1,8,0,0,F,0
1607,1,7,1,1,F,4
1608,0,6,1,1,M,30
1611,1,3,0,0,F,4
1613,1,3,1,0,F,2
1615,0,1,0,0,F,0
1618,3,1,0,0,F,0
1620,0,1,0,0,F,0
1622,1,3,0,0,F,2
1623,1,7,0,0,F,19
1624,1,8,1,1,F,5
1625,1,10,1,1,F,0
1626,1,3,1,1,F,0
1629,1,5,0,0,F,2
1630,0,5,0,0,F,4
1631,0,3,1,1,F,1
1632,1,10,1,1,F,8
1634,0,1,0,0,F,3
1637,1,1,0,0,F,1
1638,1,3,1,1,F,10
1639,2,4,0,0,F,0
1640,0,1,0,0,M,2
1642,0,6,0,0,M,1
1643,0,4,0,0,F,0
1644,2,1,0,0,M,2
1645,1,6,1,1,F,1
1646,2,1,0,0,M,0
1648,0,1,0,0,F,0
1651,1,3,1,1,F,1
1652,0,1,0,0,F,2
1653,0,5,0,0,M,6
